он приведёт конкурента депутата	он приведёт конкурента депутату
он считает отпуск рабочего	он считает отпуск рабочему
он перечисляет премию журналиста	он перечисляет премию журналисту
он перечисляет льготу участника	он перечисляет льготу участнику
он продлит проезд водителя	он продлит проезд водителю
он составит гимн победителя	он составит гимн победителю
он составит доверенность представителя	он составит доверенность представителю
он составит наказ главы	он составит наказ главе
он припомнит совет американца	он припомнит совет американцу
он приводит судью человека	он приводит судью человеку
он напоминает инструкцию представителя	он напоминает инструкцию представителю
он рассказывает песнь бога	он рассказывает песнь богу
он определит смену специалиста	он определит смену специалисту
он поднимает оплату бюджетника	он поднимает оплату бюджетнику
он делает разрешение инспектора	он делает разрешение инспектору
он делает послание канцлера	он делает послание канцлеру
он называет лекарство пациента	он называет лекарство пациенту
он производит вмешательство пациента	он производит вмешательство пациенту
он определяет вознаграждение человека	он определяет вознаграждение человеку
он восстановит письмо мужчины	он восстановит письмо мужчине
он восстановит компьютер ребёнка	он восстановит компьютер ребёнку
он отсылает перевод родственника	он отсылает перевод родственнику
он отсылает ответ жены	он отсылает ответ жене
он отсылает сигнал родителя	он отсылает сигнал родителю
он покажет труд работника	он покажет труд работнику
он покажет работу человека	он покажет работу человеку
он покажет послание царя	он покажет послание царю
он покажет подарок друга	он покажет подарок другу
он посмотрит дом ребёнка	он посмотрит дом ребёнку
он определит жизнь человека	он определит жизнь человеку
он читает имя малыша	он читает имя малышу
он читает письмо жены	он читает письмо жене
он читает список солдат	он читает список солдатам
он читает приказ человека	он читает приказ человеку
он напишет просьбу президента	он напишет просьбу президенту
он напишет ответ господина	он напишет ответ господину
он напомнит место женщины	он напомнит место женщине
он напомнит ответ адвоката	он напомнит ответ адвокату
он напомнит вопрос папы	он напомнит вопрос папе
он напомнит вопрос тренера	он напомнит вопрос тренеру
он говорит слово мамы	он говорит слово маме
он говорит ответ депутата	он говорит ответ депутату
он говорит год отца	он говорит год отцу
он скажет ответ автора	он скажет ответ автору
он возьмёт тысячу ребёнка	он возьмёт тысячу ребёнку
он упростит вопрос человека	он упростит вопрос человеку
он упростит работу человека	он упростит работу человеку
он упростит жизнь гражданина	он упростит жизнь гражданину
он готовит письмо президента	он готовит письмо президенту
он готовит помощь министра	он готовит помощь министру
он готовит льготу чиновника	он готовит льготу чиновнику
он готовит отчёт президента	он готовит отчёт президенту
он отдаст землю крестьянина	он отдаст землю крестьянину
он даст письмо руководителя	он даст письмо руководителю
он даст послание канцлера	он даст послание канцлеру
